Date, Day of Week, Building, Primary, Secondary
04/07/22, Thursday, WDW, W6, W7
04/08/22, Friday, MSH, M4, W11
04/08/22, Friday, WDW, W3, M7
04/09/22, Saturday, MSH, M5, W4
04/09/22, Saturday, WDW, W6, M10
04/10/22, Sunday, MSH, M10, W8
04/10/22, Sunday, WDW, W5, W1
04/11/22, Monday, MSH, M4, M8
04/11/22, Monday, WDW, W4, W9
04/12/22, Tuesday, MSH, M2, W10
04/12/22, Tuesday, WDW, W11, M3
04/13/22, Wednesday, MSH, M9, M1
04/13/22, Wednesday, WDW, W3, M7
04/14/22, Thursday, MSH, M5, W2
04/14/22, Thursday, WDW, W7, M6
04/15/22, Friday, MSH, M8, W5
04/15/22, Friday, WDW, W8, M6
04/16/22, Saturday, MSH, M1, M9
04/16/22, Saturday, WDW, W9, W2
04/17/22, Sunday, MSH, M10, W5
04/17/22, Sunday, WDW, W8, M4
04/18/22, Monday, MSH, M8, W4
04/18/22, Monday, WDW, W1, W9
04/19/22, Tuesday, MSH, M2, W6
04/19/22, Tuesday, WDW, W10, W11
04/20/22, Wednesday, MSH, M3, W3
04/20/22, Wednesday, WDW, W2, M5
04/21/22, Thursday, MSH, M9, M1
04/21/22, Thursday, WDW, W7, M6
04/22/22, Friday, MSH, M2, W7
04/22/22, Friday, WDW, W1, W10
04/23/22, Saturday, MSH, M3, M4
04/23/22, Saturday, WDW, W11, W3
04/24/22, Sunday, MSH, M7, M10
04/24/22, Sunday, WDW, W5, M4
04/25/22, Monday, MSH, M8, W4
04/25/22, Monday, WDW, W1, W9
04/26/22, Tuesday, MSH, M2, W8
04/26/22, Tuesday, WDW, W6, M3
04/27/22, Wednesday, MSH, M1, W10
04/27/22, Wednesday, WDW, W11, W3
04/28/22, Thursday, MSH, M5, W2
04/28/22, Thursday, WDW, W7, M9
04/29/22, Friday, MSH, M7, M5
04/29/22, Friday, WDW, W4, W6
04/30/22, Saturday, MSH, M10, W8
04/30/22, Saturday, WDW, W5, M1
05/01/22, Sunday, MSH, M7, M10
05/01/22, Sunday, WDW, W4, W5
05/02/22, Monday, MSH, M6, M8
05/02/22, Monday, WDW, W9, W1
05/03/22, Tuesday, MSH, M4, M2
05/03/22, Tuesday, WDW, W8, W6
05/04/22, Wednesday, MSH, M3, M5
05/04/22, Wednesday, WDW, W10, W11
05/05/22, Thursday, MSH, M1, W7
05/05/22, Thursday, WDW, W3, W2
05/06/22, Friday, MSH, M8, M2
05/06/22, Friday, WDW, W9, M6
05/07/22, Saturday, MSH, M9, W2
05/07/22, Saturday, WDW, W7, W1
